feature.sig	pvalue.sig	fdr.sig	n.sig	coef.sig	mean0.sig	mean1.sig	mean0.sig.w	mean1.sig.w	class
C12ORF5_sym2pro_TIGAR.R.V	0.00609870965645265	0.0349742329278203	51	0.0447509685525323	-0.0170316930836887	0.0236240680618812	-0.01795740859319	0.0267935599593423	BRCA
TSC1_sym2pro_TSC1.R.C	0.00266930915199827	0.020272320857068	51	0.131224534170749	-0.058595246445096	0.0712367257747525	-0.0677506329296893	0.0634739012410599	BRCA
TGM2_sym2pro_Transglutaminase.M.V	0.00405660198613383	0.0263953251742481	51	0.0600553742546054	0.0151330658534115	0.0609280436163366	0.00111634032679859	0.061171714581404	BRCA
KIT_sym2pro_c.Kit.R.V	0.00284527318786605	0.0203930300188692	51	-0.178903619796805	0.285785983198827	0.0855288492466997	0.280224558455063	0.101320938658257	BRCA
BIRC2_sym2pro_cIAP.R.V	0.0013951080049172	0.0140009053350619	51	-0.0594298941087704	-0.00992263026812368	-0.0636306189843234	-0.00604488646677427	-0.0654747805755447	BRCA
EEF2_sym2pro_eEF2.R.C	0.00033125851747595	0.00423107470048827	51	0.206115645021613	0.0378280584016064	0.18675548909375	-0.00633838936574778	0.0673682066086347	BRCA
NA_sym2pro_eEF2.R.V	0.00608005174842211	0.0349742329278203	51	0.0582003137267645	-0.0492539396842949	0.00788583680371095	-0.0371729212160981	0.00250499912556198	BRCA
EIF4G1_sym2pro_eIF4G.R.C	0.00763330000662114	0.042057986310991	51	0.125169257478667	-0.0678974631071429	0.0575126410173267	-0.0728992963380622	0.052269961140605	BRCA
CDKN1B_sym2pro_p27.R.V	2.27556786117666e-06	7.99293211238301e-05	51	-0.131198752924792	0.0639671854717484	-0.0566662874562706	0.0664436777776456	-0.0647550751471463	BRCA
CDKN1B_sym2pro_p27_pT157.R.C	0.000140858715290708	0.00216176666836895	51	-0.0622244748010583	0.0127773741316631	-0.0460547851575908	0.0132768598675874	-0.0489476149334709	BRCA
NA_sym2pro_p62.LCK.ligand.M.E	6.51666086751993e-05	0.00123645433483173	51	0.248294334696062	-0.0643017455626703	0.18289180682967	-0.0512521147113834	0.16418893256387	BRCA
RPS6KA1_sym2pro_p90RSK_pT359_S363.R.C	0.000349595906205395	0.0042711499845094	51	-0.0798548654983462	0.0222162772894456	-0.0414743708176568	0.0344497678785562	-0.04540509761979	BRCA
EIF4EBP1_sym2pro_4E.BP1_pT37_T46.R.V	2.72100240356758e-05	0.00595899526381301	1	-0.440943523191387	0.299811993	-0.0666958650486111	0.333863490631068	-0.107080032560319	ESCA
YWHAZ_sym2pro_14.3.3_zeta.R.V	0.00373177681746253	0.0345189355615284	28	-0.170362244666921	0.0225594949772727	-0.09059686535	0.0688348392781903	-0.10152740538873	GBM
EIF4EBP1_sym2pro_4E.BP1_pS65.R.V	0.0032106968367747	0.030990204250608	28	-0.234457451603135	0.125234956886364	-0.09983311225	0.13350326313961	-0.100954188463524	GBM
ARAF_sym2pro_A.Raf.R.V	5.34740641297253e-05	0.00395708074559967	28	0.314430007161961	-0.17496603725	0.139210804175	-0.18121203895602	0.13321796820594	GBM
PRKAA1_sym2pro_AMPK_pT172.R.V	0.00207869934588527	0.028814548589226	28	0.439591164364645	-0.340626514886364	0.00219673589999997	-0.377054516269472	0.0625366480951734	GBM
BAD_sym2pro_Bad_pS112.R.V	0.00290666511792987	0.0293308934627469	28	0.194701331619069	-0.197973247340909	-0.012943924525	-0.194216724670859	0.000484606948209749	GBM
BAX_sym2pro_Bax.R.V	0.000964636866715326	0.0237943760456447	28	0.378235467969797	-0.0783607825227273	0.2149743539	-0.113237961387607	0.264997506582189	GBM
CCND1_sym2pro_Cyclin_D1.R.V	0.00491117567007415	0.0403807777317208	28	-0.193906281110333	0.119947003659091	-0.016086431225	0.141927816431795	-0.0519784646785383	GBM
EGFR_sym2pro_EGFR_pY1068.R.C	0.000263622124684557	0.0146310279199929	28	1.57818390504966	-0.0019459324772728	1.33584359985526	-0.175023241895488	1.3625736658423	GBM
EGFR_sym2pro_EGFR_pY1173.R.V	0.000540452115371633	0.0199967282687504	28	1.05385987290191	0.0699236089318181	0.980261373644737	-0.0397461282952649	0.984780088877043	GBM
ESR1_sym2pro_ER.alpha_pS118.R.V	0.00250933068143881	0.028814548589226	28	-0.218195468955868	0.220036512795455	0.0232760993	0.232671018878529	0.0144755499226608	GBM
ERBB2_sym2pro_HER2_pY1248.R.C	0.000364239886514231	0.0161722509612319	28	0.808771883707908	-0.116461361613636	0.547832936513158	-0.210172824764773	0.581284335808294	GBM
ERBB3_sym2pro_HER3_pY1289.R.C	0.00125648897338183	0.0278940552090767	28	-0.279225590137033	0.17551755675	-0.12672192285	0.158765663062853	-0.12045992707418	GBM
RELA_sym2pro_NF.kB.p65_pS536.R.C	0.00243288425937824	0.028814548589226	28	0.476280113346403	-0.186819741568182	0.18205775015	-0.207982877461449	0.268297235884954	GBM
CDH3_sym2pro_P.Cadherin.R.C	0.00259590527830865	0.028814548589226	28	0.288370944997543	-0.079099702659091	0.204127935125	-0.0589683500019328	0.22940259499561	GBM
NA_sym2pro_Rad50.M.C	0.00170254558357659	0.028814548589226	28	0.173830426377875	-0.0159415886590909	0.07831769795	-0.0668406727333401	0.106989753644535	GBM
PTPN11_sym2pro_SHP.2_pY542.R.C	0.00408380704124661	0.0362642065262699	28	0.445275071933965	-0.196960309068182	0.151174717475	-0.279035509455178	0.166239562478786	GBM
STAT3_sym2pro_STAT3_pY705.R.V	0.00199984709792302	0.028814548589226	28	0.461314463761569	-0.186048845159091	0.1778716777	-0.265110865168702	0.196203598592868	GBM
STAT5A_sym2pro_STAT5.alpha.R.V	0.0017597035086544	0.028814548589226	28	0.368623881674676	-0.285337441068182	0.01539964535	-0.303636561102722	0.064987320571954	GBM
SMAD1_sym2pro_Smad1.R.V	0.000701577673360951	0.022250034783733	28	0.274899114174196	-0.123039286431818	0.104958242875	-0.133426233383865	0.141472880790331	GBM
SRC..LYN..FYN..LCK..YES1..HCK_sym2pro_Src_pY416.R.C	0.0055196425569409	0.0437628802728885	28	0.413619075294693	-0.123800502613636	0.215856641825	-0.20037347546813	0.213245599826563	GBM
SYK_sym2pro_Syk.M.V	0.00442906318826293	0.0378173856843989	28	0.451508425838424	-0.361318722613636	0.113764828275	-0.395578364104214	0.0559300617342102	GBM
KIT_sym2pro_c.Kit.R.V	0.00170947698440523	0.028814548589226	28	-1.21116664773244	0.930565330931818	-0.1640693923	0.989130371066963	-0.222036276665482	GBM
EEF2K_sym2pro_eEF2K.R.V	0.000851708603039816	0.0236349137343549	28	0.366643098835596	-0.116910696431818	0.1226726147	-0.176825259661916	0.18981783917368	GBM
EIF4E_sym2pro_eIF4E.R.V	0.0020794660479108	0.028814548589226	28	0.158295285261469	-0.0500716526136364	0.080932777825	-0.057117473964115	0.101177811297354	GBM
CDKN2A_sym2pro_p16_INK4a.R.V	0.00256347573279519	0.028814548589226	28	-1.14390885144466	1.55579941697727	0.521507715075	1.53863660759797	0.3947277561533	GBM
NA_sym2pro_p38_MAPK.R.C	2.86046681417588e-05	0.00395708074559967	28	0.346530785741012	-0.18315683775	0.077808329075	-0.243524218157982	0.103006567583031	GBM
MAPK14_sym2pro_p38_pT180_Y182.R.V	4.36945816511229e-05	0.00395708074559967	28	0.617045308203598	-0.340564792886364	0.14094751795	-0.422721296190753	0.194324012012845	GBM
RPS6KB1_sym2pro_p70S6K_pT389.R.V	0.00279140687403472	0.0293308934627469	28	-0.606825560194893	0.455286218340909	-0.026375275575	0.485714413778002	-0.121111146416892	GBM
CASP7_sym2pro_Caspase.7_cleavedD198.R.C	0.000737471823254832	0.0223699786387299	9	-0.126703264525922	0.14044639717698	0.0173036719822273	0.144371367460065	0.0176681029341431	KIRC
CCNE2_sym2pro_Cyclin_E2.R.C	0.000375255837338814	0.020313841068152	9	-0.0798529475793113	0.0274840111175743	-0.0557326245035545	0.023282711878865	-0.0565702357004463	KIRC
MAPK1_sym2pro_ERK2.R.E	0.000398642056899808	0.020313841068152	9	0.194740946374624	-0.166176749214109	0.0417473673518959	-0.15845498226959	0.0362859641050339	KIRC
GATA3_sym2pro_GATA3.M.V	1.06088749652934e-06	0.000192096883914803	9	-0.107633719153974	0.0573180703700495	-0.0544917286954976	0.0523059535643042	-0.0553277655896702	KIRC
ERBB3_sym2pro_HER3.R.V	0.000599224117330912	0.0223699786387299	9	0.268871466922529	-0.0972077445358911	0.176158905117299	-0.100296658188572	0.168574808733956	KIRC
TSC2_sym2pro_Tuberin_pT1462.R.V	1.40730317886302e-06	0.000192096883914803	9	0.171117376378876	-0.0534963932141089	0.111030711764218	-0.0548309400324697	0.116286436346406	KIRC
NA_sym2pro_XRCC1.R.C	0.000668882042267922	0.0223699786387299	9	-0.0632302112106587	0.0376332025806451	-0.0309242831662562	0.0289435933824615	-0.0309431156805995	KIRC
EIF4G1_sym2pro_eIF4G.R.C	0.00024020915667856	0.020313841068152	9	0.154224081759431	-0.11212249002104	0.0553155484632701	-0.100073958788104	0.0541501229713276	KIRC
RPS6KA1_sym2pro_p90RSK.R.C	0.000446458045453891	0.020313841068152	9	0.155984809253084	-0.0746230497933168	0.0851161756101896	-0.068556664971504	0.0874281442815803	KIRC
YWHAZ_sym2pro_14.3.3_zeta.R.V	7.2817700541386e-10	8.15558246063523e-08	88	-0.35858690214388	0.0672699931946429	-0.241678564696429	0.098416886395894	-0.260170015747986	KIRP
EIF4EBP1_sym2pro_4E.BP1.R.V	0.00138462947202352	0.00581369530650687	88	0.155755984207484	-0.0121291623589286	0.159373216910714	0.00471575155722063	0.160471735764705	KIRP
EIF4EBP1_sym2pro_4E.BP1_pS65.R.V	0.00105356830349261	0.0048140597406077	88	-0.125174691444205	-0.0171880554732143	-0.141580408246429	-0.0323435638735959	-0.157518255317801	KIRP
EIF4EBP1_sym2pro_4E.BP1_pT37_T46.R.V	1.28895533440978e-05	0.00018045374681737	88	-0.337945290515899	0.109552180291071	-0.197594351503571	0.119615484914584	-0.218329805601315	KIRP
ADAR_sym2pro_ADAR1.M.V	0.00308569587860096	0.0104604082798757	88	0.0798706929966981	-0.0280024039660714	0.034852401725	-0.0449957319621183	0.0348749610345797	KIRP
PRKAA1_sym2pro_AMPK_pT172.R.V	0.013947550992784	0.0371934693140908	88	0.311096513960392	-0.264586903083929	-0.00536292232500004	-0.305982904669623	0.0051136092907692	KIRP
AKT1..AKT2..AKT3_sym2pro_Akt.R.V	0.00222325500899668	0.00803240519379446	88	-0.279421261587339	0.0099164177625	-0.245701777132143	-0.0356763858885534	-0.315097647475892	KIRP
BRAF_sym2pro_B.Raf_pS445.R.V	0.00101889824276367	0.00475485846623045	88	-0.206352284496295	-0.000636793141071433	-0.233309469610714	-0.0352808233433379	-0.241633107839633	KIRP
BAK1_sym2pro_Bak.R.E	0.000951108420682474	0.00463148448332335	88	0.131115675355805	0.0511131924277778	0.202760684242537	0.0749790249349013	0.197636327661931	KIRP
BAP1_sym2pro_Bap1.c.4.M.E	0.0019589887219879	0.0074270285548121	88	0.13454296122308	-0.0639998556517857	-0.030737565975	-0.154769751510767	-0.0202267902876869	KIRP
BCL2L1_sym2pro_Bcl.xL.R.V	4.39883579557642e-05	0.000447881462822326	88	-0.193028609754414	0.0270959454125	-0.108388618432143	0.0523572578712154	-0.140671351883198	KIRP
BCL2A1_sym2pro_Bcl2A1.R.V	0.0111085234231932	0.0303452347170157	88	-0.0923833777297513	0.0333973078839286	-0.0127112149607143	0.0818585739453561	-0.0105248037843952	KIRP
BECN1_sym2pro_Beclin.G.C	0.00565083520166606	0.0171052308807189	88	0.0708640256500297	0.00370981084821428	0.0748629614678571	0.00567520929668682	0.0765392349467166	KIRP
BID_sym2pro_Bid.R.C	0.00666918267272987	0.0199186255825532	88	-0.0909990836600778	-0.0213236783946428	-0.0705293462035714	0.0173285861172933	-0.0736704975427845	KIRP
PECAM1_sym2pro_CD31.M.V	0.000278917657818816	0.00183757515739455	88	0.192435215451009	0.0976279632982143	0.317564284867857	0.134670223367409	0.327105438818418	KIRP
CDK1_sym2pro_CDK1.R.V	2.47427327886772e-06	4.61864345388642e-05	88	0.228949738579393	0.0619207773267857	0.290526757082143	0.0851874538361321	0.314137192415525	KIRP
CDK1_sym2pro_CDK1_pY15.R.C	0.000151881142291594	0.00117315089218335	88	0.151626267715736	-0.00766208821607144	0.132944790939286	-0.00136397794567586	0.15026228977006	KIRP
CASP3_sym2pro_Caspase.3.R.E	0.000929657731260584	0.00462762959560824	88	-0.283103134094105	0.0451569824833333	-0.142064965018657	0.131476443629258	-0.141153583565508	KIRP
CAV1_sym2pro_Caveolin.1.R.V	0.00851097199383078	0.024364500352637	88	-0.339185574218345	0.194142322416071	0.0772593881035714	0.306701845361415	-0.0324837288569289	KIRP
CHEK1_sym2pro_Chk1.M.C	2.21305926858655e-07	9.91450552326774e-06	88	0.280979491061732	0.0161618108553572	0.260724213467857	0.000430664992914691	0.281410156054646	KIRP
